"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지평균농도","오염범례"
"2024-02-01","11:02","서울","서초구","강남대로","서울특별시 서초구 잠원동 77 도","서울특별시 서초구 양재동 238도","4","67","16","매우좋음"
"2024-02-01","11:21","서울","서초구","서운로","서울특별시 서초구 서초동 1376도","서울특별시 서초구 서초동 1413도","4","65","6","매우좋음"
"2024-02-01","11:36","서울","서초구","사평대로","서울특별시 서초구 서초동 1373도","서울특별시 서초구 방배동 1302천","4","64","9","매우좋음"
"2024-02-01","11:47","서울","서초구","신반포로","서울특별시 서초구 반포동 1340제","서울특별시 서초구 반포동 749-18도","4","65","26","매우좋음"
"2024-02-01","12:08","서울","서초구","잠원로","서울특별시 서초구 잠원동 77 도","서울특별시 서초구 반포동 128-7 도","5","63","11","매우좋음"
"2024-02-01","12:16","서울","서초구","서초중앙로","서울특별시 서초구 반포동 128-7 도","서울특별시 서초구 서초동 1748-45도","5","60","15","매우좋음"
"2024-02-01","12:27","서울","서초구","반포대로","서울특별시 서초구 서초동 1748-47도","서울특별시 서초구 반포동 651천","5","59","6","매우좋음"
"2024-02-01","12:39","서울","서초구","방배로","서울특별시 서초구 방배동 805 도","서울특별시 서초구 방배동 1034-2도","5","62","15","매우좋음"
"2024-02-01","12:54","서울","서초구","효령로","서울특별시 서초구 방배동 504-1도","서울특별시 서초구 서초동 1374도","5","59","4","매우좋음"
"2024-02-01","13:18","서울","서초구","서초대로","서울특별시 서초구 서초동 1373도","서울특별시 서초구 방배동 2989도","6","55","23","매우좋음"
"2024-02-01","13:26","서울","서초구","명달로","서울특별시 서초구 서초동 1748-10도","서울특별시 서초구 서초동 1748-51도","6","54","28","매우좋음"
"2024-02-01","13:44","서울","서초구","사임당로","서울특별시 서초구 서초동 1748-33도","서울특별시 서초구 서초동 1374도","7","50","17","매우좋음"
"2024-02-01","13:57","서울","서초구","고무래로","서울특별시 서초구 반포동 131-3 천","서울특별시 서초구 반포동 128-7 도","6","51","51","좋음"
"2024-02-01","14:21","서울","서초구","동작대로","서울특별시 서초구 반포동 1333천","서울특별시 서초구 방배동 504-1도","7","49","19","매우좋음"
"2024-02-01","14:31","서울","서초구","남부순환로","서울특별시 서초구 방배동 504-1도","서울특별시 강남구 도곡동 207 도","7","49","20","매우좋음"
"2024-02-01","14:46","서울","서초구","논현로","서울특별시 강남구 도곡동 207 도","서울특별시 서초구 양재동 403 도","7","50","15","매우좋음"
"2024-02-01","14:52","서울","서초구","양재대로","서울특별시 서초구 염곡동 305도","서울특별시 서초구 우면동 420-2 도","8","48","29","매우좋음"
"2024-02-01","10:09","경기","포천시","용정경제로","경기도 포천시 어룡동 408-1도","경기도 포천시 군내면 구읍리 606-10답","0","100","19","매우좋음"
"2024-02-01","10:19","경기","포천시","호국로","경기도 포천시 영북면 자일리 339-3천","경기도 포천시 소흘읍 이동교리 산117-2 도","1","100","108","보통"
"2024-02-01","10:36","경기","포천시","송선로","경기도 포천시 자작동 434-1 도","경기도 포천시 소흘읍 송우리 732 도","1","100","61","좋음"
"2024-02-01","10:39","경기","포천시","태봉로","경기도 포천시 소흘읍 송우리 731 도","경기도 포천시 소흘읍 이동교리 38-7 도","1","100","88","좋음"
"2024-02-01","11:06","경기","동두천시","삼육사로","경기도 동두천시 탑동동 산40 임","경기도 동두천시 상패동 1081-10 잡","1","100","209","매우나쁨"
"2024-02-01","11:34","경기","동두천시","상패로","경기도 동두천시 보산동 441-3 도","경기도 동두천시 상패동 114-3 도","3","94","286","매우나쁨"
"2024-02-01","11:52","경기","동두천시","이담로","경기도 동두천시 지행동 160-3 도","경기도 동두천시 지행동 725-7 도","2","94","371","매우나쁨"
"2024-02-01","14:01","서울","용산구","한강대로","서울특별시 용산구 동자동 43-207도","서울특별시 용산구 이촌동 372천","8","60","25","매우좋음"
"2024-02-01","14:36","서울","용산구","이태원로","서울특별시 용산구 한남동 726-495도","서울특별시 용산구 한강로1가 97도","8","59","13","매우좋음"
"2024-02-01","14:54","서울","용산구","청파로","서울특별시 용산구 서계동 217-2 도","서울특별시 용산구 이촌동 322천","8","66","5","매우좋음"
"2024-02-01","11:00","경기","용인시 처인구","에버랜드로","경기도 용인시처인구 포곡읍 마성리 산 11-10임","경기도 용인시처인구 포곡읍 둔전리 345-7답","3","82","7","매우좋음"
"2024-02-01","11:05","경기","용인시 처인구","포곡로","경기도 용인시처인구 포곡읍 삼계리 412-2도","경기도 용인시처인구 유방동 481-12도","3","82","19","매우좋음"
